CustomerCode,sample_count,conversions,conversion_rate,Hand_Tufted,Double_Wowen,Durry,Double_Back,Knotted,Jacquared,Handloom,Other,Rectangle,Square,Round,Purple,Gray,Navy,PINK,BLUE,BLUSH_PINK,NEUTRAL,TAN,NAVY,unnamed_21,unnamed_22,Customer_.1,H_2,P_5,M_1,A_9,C_2,JL,N_1,T_5,C_1,T_2,I_2,PD,L_5,M_2,RC,P_4,T_4,PC,A_11,CC,Sum_of_QtyRequired,Sum_of_TotalArea,Sum_of_Amount,DURRY,HANDLOOM,DOUBLE_BACK,JACQUARD,HAND_TUFTED,HAND_WOVEN,KNOTTED,GUN_TUFTED,Powerloom_Jacquard,INDO_TEBETAN
PD,132,122,0.9242,0.0,191.0,9950.0,414.0,388.0,50.0,133.0,20.0,11140.0,6.0,0.0,0.0,1068.0,0.0,0.0,292.0,0.0,0.0,0.0,0.0,,,Purple,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11146,725.0137000000005,404528.9454840001,9950,133,414,50,0,191,388,0,0,20
JL,55,39,0.7091,3544.0,5110.0,5310.0,3575.0,1026.0,231.0,0.0,65.0,18767.0,0.0,94.0,55.0,808.0,0.0,316.0,1574.0,0.0,0.0,0.0,0.0,,,Jacquared,550.0,353.0,60.0,714.0,0.0,231.0,0.0,100.0,0.0,0.0,456.0,50.0,0.0,471.0,459.0,0.0,0.0,0.0,0.0,0.0,18861,2980.6500000000037,1231578.2775,5310,0,3575,231,3544,5110,1026,0,0,0
P-5,68,35,0.5147,2352.0,5340.0,25997.0,4691.0,9502.0,353.0,138.0,0.0,47951.0,315.0,107.0,0.0,1863.0,0.0,0.0,6218.0,0.0,0.0,0.0,0.0,,,Double Wowen,3000.0,5340.0,3085.0,2116.0,14314.0,5110.0,0.0,2542.0,220.0,762.0,1126.0,191.0,0.0,168.0,332.0,56.0,0.0,0.0,0.0,0.0,48373,79666.79050000005,3066518.227892008,25997,138,4691,353,2352,5340,9502,0,0,0
I-2,20,9,0.45,3657.0,1126.0,978.0,410.0,56.0,456.0,788.0,30.0,7291.0,0.0,210.0,94.0,260.0,80.0,82.0,336.0,0.0,80.0,0.0,80.0,,,Round,50540.0,107.0,0.0,0.0,0.0,94.0,2196.0,800.0,93.0,540.0,210.0,0.0,0.0,463.0,91.0,0.0,0.0,0.0,0.0,53.0,7501,1508.6320000000005,426626.0484,978,788,410,456,3657,1126,56,30,0,0
A-9,222,93,0.4189,11716.0,2116.0,3585.0,175.0,617.0,714.0,0.0,0.0,18923.0,0.0,0.0,0.0,273.0,1843.0,552.0,705.0,0.0,1832.0,0.0,1843.0,,,Double Back,0.0,4691.0,5439.0,175.0,0.0,3575.0,0.0,262.0,0.0,1242.0,410.0,414.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,3.0,18923,53625.654400000014,1592079.7899999998,3585,0,175,714,11716,2116,617,0,0,0
C-2,63,26,0.4127,3816.0,14314.0,37042.0,0.0,0.0,0.0,0.0,0.0,55172.0,0.0,0.0,0.0,2007.0,1601.0,0.0,0.0,0.0,0.0,0.0,1601.0,,,Knotted,0.0,9502.0,3626.0,617.0,0.0,1026.0,0.0,0.0,453.0,0.0,56.0,388.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,55172,9510.0,1557123.0,37042,0,0,0,3816,14314,0,0,0,0
C-1,39,16,0.4103,4176.0,220.0,288.0,0.0,453.0,0.0,0.0,0.0,5041.0,2.0,93.0,0.0,24.0,52.0,0.0,38.0,0.0,52.0,0.0,52.0,,,Rectangle,132756.0,47951.0,16619.0,18923.0,55172.0,18767.0,70692.0,42167.0,5041.0,4915.0,7291.0,11140.0,25840.0,6361.0,2931.0,16653.0,5677.0,1293.0,2466.0,5023.0,5137,62763.055499999995,567620.7209639996,288,0,0,0,4176,220,453,0,0,0
H-2,185,72,0.3892,26612.0,3000.0,139618.0,0.0,0.0,550.0,3673.0,9753.0,132756.0,0.0,50540.0,0.0,0.0,16235.0,0.0,15537.0,0.0,0.0,0.0,16235.0,,,Hand Tufted,26612.0,2352.0,2697.0,11716.0,3816.0,3544.0,60685.0,5302.0,4176.0,2636.0,3657.0,0.0,0.0,4418.0,1130.0,133.0,3667.0,1294.0,0.0,5021.0,183206,19505.3958,3804801.295699999,139618,3673,0,550,26612,3000,0,0,9753,0
M-1,119,46,0.3866,2697.0,3085.0,412.0,5439.0,3626.0,60.0,1085.0,245.0,16619.0,30.0,0.0,0.0,1216.0,53.0,138.0,69.0,0.0,0.0,0.0,53.0,,,Durry,139618.0,25997.0,412.0,3585.0,37042.0,5310.0,12203.0,34651.0,288.0,299.0,978.0,9950.0,25840.0,1869.0,527.0,12900.0,1560.0,0.0,1021.0,4.0,16649,209725.22199999998,1959794.0300199995,412,1085,5439,60,2697,3085,3626,195,0,0
M-2,50,17,0.34,4418.0,168.0,1869.0,0.0,0.0,471.0,0.0,0.0,6361.0,0.0,463.0,0.0,310.0,0.0,263.0,547.0,0.0,0.0,0.0,0.0,,,Navy,16235.0,0.0,53.0,1843.0,1601.0,0.0,8080.0,2246.0,52.0,0.0,80.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,371.0,6926,8200.395900000001,334245.2237500001,1869,0,0,471,4418,168,0,0,0,0
